,Cluster_east
0,1
1,2
2,2
3,1
4,8
5,6
6,8
7,2
8,5
9,8
10,9
11,1
12,6
13,7
14,1
15,2
16,2
17,3
18,1
19,2
20,3
21,2
22,1
23,1
24,1
25,2
26,7
27,5
28,6
29,5
30,6
31,2
32,7
33,1
34,5
35,6
36,9
37,2
38,6
39,1
40,6
41,2
42,2
43,4
44,6
45,6
46,1
47,6
48,7
49,2
50,6
51,0
52,8
53,8
54,2
55,3
56,1
57,6
58,6
59,4
60,3
61,0
62,8
63,8
64,6
65,8
66,1
67,3
68,1
69,6
70,6
71,5
72,7
73,2
74,6
75,2
76,5
77,4
78,9
79,2
80,4
81,3
82,2
83,8
84,2
85,5
86,0
87,1
88,8
89,0
90,3
91,6
92,2
93,8
94,5
95,6
96,6
97,5
98,5
99,3
100,7
101,1
102,6
103,2
104,1
105,4
106,6
107,2
108,2
109,6
110,1
111,6
112,4
113,4
114,7
115,0
116,6
117,5
118,2
119,7
120,6
121,7
122,6
123,3
124,2
125,7
126,0
127,6
128,7
129,2
130,9
131,5
132,6
133,3
134,0
135,0
136,0
137,1
138,2
139,9
140,1
141,0
142,0
143,0
144,4
145,9
146,9
147,4
148,9
149,5
150,8
151,4
152,0
153,8
154,5
155,4
156,6
157,8
158,1
159,3
160,2
161,1
162,2
163,6
164,2
165,6
166,1
167,3
168,1
169,1
170,3
171,2
172,1
173,6
174,3
175,2
176,3
177,3
178,3
179,3
180,3
181,6
182,1
183,9
184,1
185,6
186,6
187,3
188,3
189,3
190,3
191,3
192,2
193,5
194,2
195,2
196,6
197,8
198,4
199,1
200,6
201,3
202,4
203,9
204,1
205,2
206,6
207,1
208,6
209,6
210,8
211,1
