,Cluster_north
0,5
1,1
2,5
3,6
4,2
5,5
6,8
7,8
8,9
9,11
10,5
11,7
12,8
13,7
14,5
15,7
16,3
17,4
18,5
19,5
20,11
21,5
22,5
23,5
24,9
25,5
26,5
27,5
28,5
29,7
30,0
31,0
32,5
33,0
34,5
35,7
36,3
37,2
38,3
39,3
40,5
41,5
42,5
43,11
44,11
45,9
46,3
47,1
48,7
49,3
50,3
51,1
52,0
53,5
54,11
55,7
56,5
57,5
58,11
59,5
60,2
61,11
62,5
63,1
64,1
65,11
66,5
67,11
68,9
69,11
70,1
71,10
72,5
73,5
74,5
75,5
76,7
77,2
78,9
79,2
80,5
81,1
82,5
83,7
84,2
85,1
86,5
87,0
88,0
89,9
90,1
91,12
92,9
93,5
94,5
95,5
96,2
97,1
98,5
99,9
100,5
101,5
102,1
103,9
104,1
105,3
106,0
107,2
108,9
109,13
110,9
111,5
112,2
113,5
114,5
115,5
116,5
117,5
118,5
119,9
120,8
121,9
122,1
123,8
124,7
125,5
126,2
127,1
128,5
129,1
130,2
131,3
132,3
133,3
134,2
135,3
136,4
137,1
138,2
139,3
140,3
141,5
142,9
143,5
144,2
145,11
146,0
147,2
148,0
149,3
150,8
151,2
152,1
153,5
154,5
155,5
156,7
157,1
158,1
159,9
160,5
161,5
162,1
163,5
164,1
165,1
166,1
167,1
168,5
169,5
170,5
171,5
172,9
173,5
174,5
175,5
176,5
177,5
178,5
179,5
180,5
181,1
182,5
183,5
184,9
185,5
186,5
187,5
188,5
189,7
190,5
191,5
192,5
193,7
194,5
195,5
196,5
197,5
198,11
199,5
200,5
201,5
202,5
203,5
204,11
205,4
206,5
207,5
208,11
209,11
210,4
211,11
212,1
213,1
214,2
215,5
216,5
217,5
218,5
219,1
220,9
221,5
222,5
223,8
224,8
225,8
226,5
227,5
228,5
229,1
230,1
231,1
232,5
