,Cluster_south
0,7
1,26
2,0
3,2
4,2
5,3
6,6
7,6
8,54
9,53
10,7
11,6
12,53
13,3
14,4
15,4
16,45
17,4
18,3
19,50
20,0
21,3
22,3
23,38
24,49
25,3
26,0
27,10
28,1
29,6
30,48
31,10
32,2
33,28
34,19
35,54
36,0
37,27
38,10
39,6
40,6
41,55
42,7
43,54
44,3
45,54
46,3
47,54
48,6
49,3
50,6
51,10
52,3
53,7
54,9
55,4
56,37
57,3
58,3
59,2
60,4
61,7
62,9
63,9
64,54
65,0
66,24
67,0
68,1
69,0
70,0
71,3
72,0
73,0
74,54
75,0
76,4
77,4
78,4
79,0
80,1
81,2
82,54
83,6
84,6
85,7
86,7
87,0
88,1
89,0
90,9
91,6
92,6
93,9
94,1
95,4
96,3
97,54
98,4
99,0
100,10
101,2
102,10
103,10
104,46
105,3
106,9
107,2
108,10
109,2
110,6
111,53
112,3
113,6
114,3
115,2
116,3
117,2
118,4
119,6
120,3
121,10
122,2
123,10
124,6
125,9
126,0
127,3
128,7
129,6
130,4
131,7
132,9
133,9
134,43
135,54
136,8
137,0
138,3
139,0
140,4
141,54
142,12
143,42
144,3
145,10
146,1
147,54
148,10
149,2
150,6
151,2
152,0
153,1
154,4
155,53
156,54
157,14
158,31
159,0
160,54
161,10
162,7
163,9
164,15
165,0
166,54
167,3
168,4
169,35
170,3
171,36
172,54
173,2
174,30
175,16
176,53
177,3
178,10
179,9
180,2
181,2
182,6
183,6
184,10
185,6
186,2
187,3
188,6
189,10
190,4
191,18
192,0
193,17
194,54
195,4
196,7
197,2
198,53
199,54
200,9
201,10
202,10
203,6
204,6
205,3
206,54
207,0
208,1
209,11
210,0
211,54
212,3
213,3
214,0
215,40
216,54
217,3
218,54
219,20
220,4
221,54
222,44
223,29
224,2
225,0
226,3
227,4
228,4
229,22
230,0
231,3
232,23
233,32
234,34
235,0
236,54
237,0
238,0
239,54
240,4
241,54
242,3
243,4
244,4
245,4
246,3
247,54
248,0
249,4
250,0
251,9
252,4
253,25
254,4
255,4
256,3
257,4
258,4
259,2
260,5
261,7
262,4
263,7
264,47
265,2
266,0
267,54
268,7
269,51
270,3
271,52
272,0
273,4
274,13
275,1
276,39
277,9
278,53
279,3
280,0
281,41
282,21
283,0
284,33
285,7
