,Cluster_west
0,32
1,49
2,3
3,3
4,65
5,24
6,69
7,4
8,7
9,1
10,7
11,0
12,4
13,4
14,57
15,3
16,3
17,1
18,44
19,3
20,1
21,1
22,69
23,3
24,3
25,3
26,69
27,3
28,22
29,1
30,41
31,40
32,4
33,3
34,53
35,41
36,41
37,69
38,41
39,3
40,59
41,3
42,2
43,7
44,4
45,4
46,1
47,1
48,41
49,69
50,55
51,23
52,26
53,1
54,4
55,4
56,41
57,4
58,4
59,0
60,3
61,3
62,29
63,3
64,3
65,54
66,10
67,40
68,41
69,3
70,3
71,56
72,67
73,16
74,3
75,10
76,40
77,8
78,3
79,40
80,1
81,10
82,3
83,7
84,4
85,7
86,68
87,27
88,38
89,1
90,41
91,41
92,69
93,2
94,7
95,69
96,36
97,2
98,3
99,7
100,40
101,7
102,20
103,69
104,3
105,3
106,1
107,62
108,10
109,40
110,33
111,3
112,3
113,4
114,4
115,4
116,4
117,2
118,10
119,4
120,2
121,50
122,4
123,30
124,3
125,4
126,4
127,4
128,41
129,69
130,3
131,3
132,10
133,1
134,7
135,4
136,3
137,48
138,41
139,4
140,10
141,58
142,47
143,4
144,40
145,69
146,40
147,0
148,1
149,0
150,69
151,69
152,69
153,52
154,3
155,3
156,70
157,13
158,69
159,17
160,69
161,10
162,45
163,41
164,64
165,9
166,10
167,51
168,41
169,10
170,41
171,41
172,40
173,41
174,40
175,66
176,4
177,0
178,41
179,3
180,40
181,10
182,1
183,41
184,3
185,40
186,43
187,41
188,61
189,14
190,1
191,41
192,1
193,1
194,7
195,1
196,41
197,41
198,1
199,1
200,3
201,69
202,69
203,1
204,15
205,3
206,3
207,3
208,41
209,7
210,69
211,69
212,69
213,40
214,40
215,2
216,3
217,1
218,10
219,1
220,40
221,42
222,70
223,39
224,4
225,1
226,31
227,69
228,1
229,70
230,3
231,19
232,3
233,1
234,3
235,3
236,0
237,69
238,25
239,0
240,69
241,3
242,3
243,46
244,3
245,0
246,3
247,3
248,0
249,3
250,1
251,1
252,40
253,0
254,10
255,3
256,1
257,7
258,3
259,69
260,69
261,3
262,5
263,1
264,1
265,69
266,7
267,69
268,3
269,40
270,40
271,37
272,28
273,1
274,1
275,7
276,3
277,41
278,69
279,40
280,10
281,34
282,41
283,3
284,69
285,71
286,40
287,41
288,1
289,1
290,10
291,12
292,1
293,11
294,21
295,40
296,7
297,18
298,1
299,63
300,69
301,69
302,60
303,69
304,35
305,1
306,6
307,40
