Day,Date,BSE100,BSE200,BSE500,BSEMidCap,BSESmallCap,BSE100 returns,BSE200 returns,BSE500 returns,BSEMidCap returns,BSESmallCap returns
Thursday,2015-01-08,8331.660156,3416.919922,10688.99023,10420.62988,11185.87988,0.0042481018,0.0036704512,0.003447821,0.002170081,0.0008102004
Friday,2015-01-09,8371.219727,3431.169922,10731.20996,10426.00977,11198.33984,0.00474810185,0.004170422581,0.003949833342,0.0005162730144,0.001113900751
Monday,2015-01-12,8417.259766,3449.379883,10789.73047,10486.17969,11291.5,0.005499800567,0.005307216318,0.005453300254,0.005771135969,0.008319104558
Tuesday,2015-01-13,8391.05957,3441.800049,10767.45996,10492.76953,11251.50977,-0.003112675233,-0.002197448312,-0.002064046925,0.0006284309629,-0.003541622459
Wednesday,2015-01-14,8373.139648,3436.300049,10748.21973,10471.91016,11201.08008,-0.002135597042,-0.001598001023,-0.001786886608,-0.001987975619,-0.004482037614
Thursday,2015-01-15,8577.209961,3512.790039,10975.37012,10598.69043,11314.09961,0.02437201833,0.02225940369,0.02113376873,0.01210669955,0.01009005642
Friday,2015-01-16,8605.709961,3525.949951,11013.08984,10633.11035,11309.92969,0.003322758814,0.00374628482,0.003436760637,0.003247563482,-0.0003685595976
Monday,2015-01-19,8648.620117,3542.5,11067.16992,10681.01953,11399.86035,0.004986242413,0.004693784435,0.004910527453,0.004505660002,0.007951478255
Tuesday,2015-01-20,8771.820313,3588.22998,11201.75,10727.80957,11446.26953,0.01424506966,0.01290895695,0.01216029762,0.004380671702,0.004071030572
Wednesday,2015-01-21,8798.480469,3597.929932,11225.87988,10702.24023,11422.87988,0.003039295728,0.002703269315,0.002154116991,-0.002383463263,-0.002043429952
Thursday,2015-01-22,8836.040039,3612.449951,11270.57031,10710.24023,11449.5,0.004268870077,0.004035659191,0.003981018012,0.0007475070479,0.002330421074
Friday,2015-01-23,8911.400391,3639.639893,11343.2002,10695.66992,11366.08984,0.008528747229,0.007526731822,0.00644420717,-0.001360409261,-0.007285048255
Tuesday,2015-01-27,8983.799805,3671.350098,11439.15039,10780.46973,11424.48047,0.008124358779,0.008712456708,0.008458828929,0.007928424366,0.005137266274
Wednesday,2015-01-28,8992.030273,3677.419922,11455.34961,10808.44043,11369.11035,0.0009161455262,0.001653294793,0.001416120905,0.002594571545,-0.004846620391
Thursday,2015-01-29,9019.259766,3684.600098,11474.51953,10771.08008,11378.75,0.003028180753,0.001952503699,0.001673446962,-0.003456590268,0.0008478807667
Friday,2015-01-30,8903.099609,3641.159912,11346.24023,10738.58984,11329.25977,-0.01287912312,-0.01178966098,-0.01117949206,-0.00301643287,-0.004349355597
Monday,2015-02-02,8895.290039,3641.01001,11353.83984,10799.12988,11456.83984,-0.0008771742812,-0.00004116874942,0.0006697910361,0.005637615451,0.0112611126
Tuesday,2015-02-03,8849.75,3621.620117,11299.25977,10768.23047,11426.78027,-0.005119567636,-0.00532541601,-0.00480719041,-0.002861287006,-0.002623722634
Wednesday,2015-02-04,8813.169922,3606.5,11252.23047,10741.37988,11432.40039,-0.004133458911,-0.004174959414,-0.004162157607,-0.00249350068,0.0004918375839
Thursday,2015-02-05,8789,3592.360107,11203.24023,10603.57031,11283.13965,-0.002742477703,-0.00392066907,-0.004353824793,-0.01282978272,-0.01305594056
Friday,2015-02-06,8741.209961,3571.070068,11128.08984,10490.67969,11077.33984,-0.005437483104,-0.005926476847,-0.006707915608,-0.01064647253,-0.01823958724
Monday,2015-02-09,8603.950195,3516.159912,10962.32031,10342.26953,10911.54004,-0.01570260486,-0.01537638718,-0.01489649458,-0.01414685839,-0.01496747436
Tuesday,2015-02-10,8650.910156,3535.77002,11019.08984,10381.75977,10899.00977,0.005457953607,0.005577137699,0.005178605295,0.00381833406,-0.001148350274
Wednesday,2015-02-11,8727.290039,3570.909912,11132.05957,10543.11035,11059.38965,0.008829115275,0.009938398652,0.01025218341,0.01554173701,0.01471508728
Thursday,2015-02-12,8813.660156,3607.929932,11250.4502,10662.11035,11200.15039,0.009896556275,0.01036711116,0.01063510568,0.01128699179,0.01272771323
Friday,2015-02-13,8902.139648,3642.169922,11354.29004,10740.9502,11239.28027,0.01003890443,0.009490203703,0.009229838642,0.007394394488,0.003493692374
Monday,2015-02-16,8901.200195,3641.300049,11352.62988,10737.99023,11246.4502,-0.0001055311461,-0.0002388337224,-0.0001462143379,-0.0002755780396,0.000637934977
Wednesday,2015-02-18,8954.860352,3664.939941,11431.20996,10828.41016,11363.91992,0.006028418171,0.006492157109,0.006921751244,0.008420563631,0.0104450487
Thursday,2015-02-19,8983.05957,3673.429932,11456.73047,10832.61035,11374.75977,0.003149040509,0.002316543009,0.002232529198,0.0003878861197,0.0009538829978
Friday,2015-02-20,8930.490234,3654.330078,11404.62988,10836.17969,11426.24023,-0.005852052476,-0.005199460546,-0.004547596728,0.0003294995282,0.004525850307
Monday,2015-02-23,8848.919922,3621.439941,11304.08008,10745.41992,11389.48047,-0.00913391201,-0.009000319155,-0.00881657722,-0.008375624306,-0.003217135231
Tuesday,2015-02-24,8858.219727,3623.850098,11306.80957,10724.7002,11300.11035,0.001050953685,0.0006655244983,0.0002414606037,-0.001928237347,-0.0078467249
Wednesday,2015-02-25,8860.669922,3622.709961,11302.41016,10701.11035,11254.82031,0.0002766012896,-0.0003146203538,-0.0003890938441,-0.002199581299,-0.004007929002
Thursday,2015-02-26,8784.230469,3591.23999,11206.23047,10616.28027,11163.75977,-0.008626825474,-0.008686859102,-0.008509661978,-0.007927222244,-0.008090803539
Friday,2015-02-27,8945.900391,3656.300049,11405.29004,10811.45996,11319.55957,0.01840456288,0.01811632171,0.01776329431,0.01838494134,0.01395585387
Saturday,2015-02-28,9059.620117,3702.879883,11547.96973,10952.92969,11370.79981,0.01271193743,0.01273960927,0.01250995718,0.01308516431,0.00452669909
Monday,2015-03-02,9059.620117,3702.879883,11547.96973,10952.92969,11370.79981,0,0,0,0,0
Tuesday,2015-03-03,9106.669922,3723.47998,11622.12012,11081.83008,11528.88965,0.005193352965,0.005563263636,0.006421075889,0.01176857641,0.01390314161
Wednesday,2015-03-04,9031.610352,3693.27002,11526.28027,10964.26953,11381.65039,-0.008242263159,-0.008113367109,-0.008246331049,-0.01060840576,-0.0127713305
Thursday,2015-03-05,9051.709961,3705.439941,11567.69043,11045.08008,11456.84961,0.002225473445,0.003295161452,0.003592673354,0.007370354202,0.006607057625
Monday,2015-03-09,8874.55957,3636.399902,11361.16016,10901.24023,11351.94043,-0.01957093099,-0.01863207611,-0.01785406268,-0.01302297937,-0.009156895968
Tuesday,2015-03-10,8838.099609,3623.389893,11319.91016,10860.25,11319.62012,-0.004108368501,-0.003577716794,-0.003630791171,-0.003760143721,-0.002847117654
Wednesday,2015-03-11,8822.879883,3616.129883,11294.41992,10816.33008,11283.78027,-0.001722058663,-0.002003651336,-0.002251805857,-0.004044098432,-0.003166170739
Thursday,2015-03-12,8908.230469,3652.340088,11410.46973,10945.28027,11385.30957,0.009673778532,0.01001352445,0.0102749686,0.01192180611,0.008997809029
Friday,2015-03-13,8770.110352,3598.439941,11246.40039,10794.87988,11209.55957,-0.01550477589,-0.0147577021,-0.01437884188,-0.01374111821,-0.01543655874
Monday,2015-03-16,8751.419922,3590.790039,11219.17969,10758.40039,11111.82031,-0.002131151063,-0.002125894033,-0.002420392219,-0.003379332647,-0.008719277452
Tuesday,2015-03-17,8845.049805,3629.149902,11333.53027,10820.20996,11134.41016,0.01069882189,0.01068284767,0.01019241898,0.005745237931,0.002032956741
Wednesday,2015-03-18,8819.200195,3621.189941,11314.16016,10850.16016,11162.16992,-0.002922494567,-0.002193340373,-0.001709097654,0.002767986953,0.002493150477
Thursday,2015-03-19,8764.370117,3600.070068,11248.12012,10786.16992,11097.78027,-0.006217125906,-0.005832301907,-0.005836936995,-0.005897630916,-0.005768560276
Friday,2015-03-20,8692.240234,3568.899902,11140.30957,10625.28027,10859.75,-0.008229899244,-0.008658210927,-0.009584761618,-0.01491629106,-0.02144845764
Monday,2015-03-23,8658.709961,3553.659912,11086.37988,10539.11035,10720.03027,-0.003857494972,-0.004270220633,-0.004840950753,-0.008109896192,-0.01286583301
Tuesday,2015-03-24,8654.490234,3549.909912,11072.07031,10493.15039,10650.92969,-0.0004873389938,-0.001055250106,-0.00129073423,-0.004360895604,-0.006445931426
Wednesday,2015-03-25,8636.459961,3543.889893,11046.54981,10443.19043,10579.95996,-0.002083343156,-0.001695823035,-0.002304943817,-0.004761197366,-0.006663242746
Thursday,2015-03-26,8467.179688,3479.860107,10853.5,10355.03027,10474.55957,-0.0196006551,-0.01806765671,-0.01747602766,-0.008441879959,-0.009962267381
Friday,2015-03-27,8457.530273,3476.280029,10843.46973,10359.92969,10440.69043,-0.001139625632,-0.001028799403,-0.0009241507348,0.0004731439573,-0.003233466741
Monday,2015-03-30,8610.320313,3536.810059,11039.69043,10559.51953,10795.40039,0.01806556229,0.01741229978,0.0180957484,0.01926555932,0.03397380301
Tuesday,2015-03-31,8606.599609,3537.550049,11048.75,10592.21973,10890.4502,-0.0004321214385,0.0002092252588,0.0008206362359,0.003096750748,0.008804658148
Wednesday,2015-04-01,8705.629883,3579.090088,11183.83008,10750.41992,11146.71973,0.01150631823,0.01174260107,0.01222582464,0.01493550871,0.02353158274
Monday,2015-04-06,8784.480469,3611.360107,11288.04981,10869.82031,11299.29981,0.00905742457,0.00901626341,0.009318786968,0.01110657917,0.01368833914
Tuesday,2015-04-07,8803.450195,3621.100098,11322.50977,10950.54004,11431.08008,0.002159459067,0.002697042309,0.003052782419,0.007426040882,0.01166269346
Wednesday,2015-04-08,8861.580078,3643.719971,11397.04981,11022.16992,11635.37988,0.006603079669,0.006246685368,0.006583349585,0.006541218948,0.0178723094
Thursday,2015-04-09,8913.400391,3664.379883,11457.88965,11050.25,11717.48047,0.005847750914,0.005670005424,0.005338209538,0.002547599992,0.007056115988
Friday,2015-04-10,8925.19043,3669.429932,11475.17969,11093.01953,11846.33008,0.001322731896,0.001378145597,0.001509007376,0.003870458134,0.01099635799
Monday,2015-04-13,8979.679688,3690.73999,11537.92969,11127.41992,11942.03027,0.006105108729,0.005807457397,0.005468323956,0.003101084417,0.008078467285
Wednesday,2015-04-15,8902.790039,3660.73999,11449.28027,11070.75977,11901.38965,-0.008562627139,-0.008128451227,-0.007683303884,-0.005091939588,-0.003403158348
Thursday,2015-04-16,8842.900391,3638.320068,11374.55957,10993.01953,11792.74023,-0.006727065082,-0.006124423494,-0.006526235557,-0.007022123288,-0.009129137285
Friday,2015-04-17,8744.759766,3594.810059,11239.34961,10771.76953,11622.23047,-0.01109823934,-0.01195881841,-0.01188705015,-0.02012640834,-0.01445887526
Monday,2015-04-20,8583.80957,3527.290039,11026.29981,10553.95996,11369.58984,-0.01840533077,-0.01878263911,-0.01895570539,-0.02022040756,-0.02173770608
Tuesday,2015-04-21,8517.25,3500.75,10949.96973,10506.70996,11332.88965,-0.007754082783,-0.007524200932,-0.006922547121,-0.004476992539,-0.003227925591
Wednesday,2015-04-22,8564.269531,3517.73999,10995.59961,10546.24023,11328.50977,0.005520506149,0.004853242877,0.004167123848,0.003762383291,-0.0003864751299
Thursday,2015-04-23,8535.80957,3507.469971,10966.12012,10607.07031,11309.90039,-0.003323104311,-0.00291949349,-0.002681026142,0.005767939917,-0.001642703266
Friday,2015-04-24,8435.969727,3463.060059,10812.99023,10435.63965,11008.62012,-0.01169658744,-0.01266152308,-0.01396390777,-0.0161619236,-0.02663863161
Monday,2015-04-27,8331.700195,3415.800049,10652.28027,10216.33984,10694.80957,-0.01236011216,-0.01364689298,-0.01486267504,-0.0210145058,-0.02850589325
Tuesday,2015-04-28,8409.219727,3450.120117,10762.66992,10368.46973,10840.87012,0.009304167239,0.01004744643,0.01036300653,0.01489084079,0.01365714359
Wednesday,2015-04-29,8370.30957,3440.719971,10743.46973,10408.75977,10960.51953,-0.004627082924,-0.002724585139,-0.001783961614,0.003885823178,0.01103688253
Thursday,2015-04-30,8321.55957,3425.030029,10696.83008,10416.29004,10944.03027,-0.00582415735,-0.004560075255,-0.004341209234,0.0007234550673,-0.001504423212
Monday,2015-05-04,8470.69043,3486.149902,10889.44043,10549.41992,11169.65039,0.01792102295,0.01784506194,0.01800630173,0.01278093059,0.02061581652
Tuesday,2015-05-05,8473.330078,3489.189941,10899.00977,10613.15039,11178.16992,0.0003116213515,0.0008720333564,0.0008787724274,0.006041135009,0.0007627391818
Wednesday,2015-05-06,8229.730469,3387.77002,10585.04981,10265.23047,10829.79004,-0.02874898142,-0.02906689596,-0.02880628301,-0.03278196456,-0.03116609271
Thursday,2015-05-07,8167.549805,3357.75,10484.44043,10065.55957,10647.99023,-0.007555613666,-0.008861292184,-0.009504856548,-0.0194511853,-0.01678701151
Friday,2015-05-08,8308.679688,3415.370117,10663.01953,10236.20996,10829.05957,0.01727934159,0.01716033564,0.01703277358,0.01695389003,0.01700502499
Monday,2015-05-11,8442.519531,3471.679932,10831.91992,10453.95996,10967.62012,0.01610843696,0.01648717798,0.0158398275,0.02127252185,0.01279525236
Tuesday,2015-05-12,8244.049805,3395.370117,10598.65039,10274.08008,10778.7002,-0.0235083526,-0.02198065965,-0.0215353817,-0.01720686522,-0.01722524285
Wednesday,2015-05-13,8360.75,3443.939941,10743.30957,10433.87012,10872.84961,0.01415568777,0.01430472153,0.01364883025,0.01555273453,0.008734764698
Thursday,2015-05-14,8368.44043,3451.379883,10770.04981,10526.94043,10972.33984,0.0009198253745,0.002160299578,0.002489013262,0.008920018069,0.009150336257
Friday,2015-05-15,8400.780273,3465.629883,10815.58984,10563.91992,11040.79004,0.003864500592,0.004128783409,0.004228395486,0.003512843095,0.006238432367
Monday,2015-05-18,8511.419922,3508.610107,10946.95996,10667.07031,11147.91992,0.01317016341,0.01240185059,0.01214636667,0.009764404765,0.009703099109
Tuesday,2015-05-19,8505.669922,3507.439941,10946.73047,10651.01953,11187.73047,-0.0006755629557,-0.0003335126914,-0.00002096381103,-0.001504703685,0.003571119122
Wednesday,2015-05-20,8553.879883,3525.97998,11001.29004,10650.78027,11206.84961,0.005667979294,0.005285917738,0.00498409732,-0.00002246357725,0.001708938203
Thursday,2015-05-21,8550.349609,3522.98999,10991.55957,10606.91992,11200.86035,-0.0004127102611,-0.0008479883655,-0.0008844844527,-0.004118041016,-0.0005344285155
Friday,2015-05-22,8581.780273,3536.22998,11030.09961,10619.80957,11207.66016,0.003675950743,0.003758168498,0.003506330449,0.001215211399,0.0006070792589
Monday,2015-05-25,8505.320313,3510.189941,10952.96973,10611.11035,11183.37988,-0.008909568594,-0.007363785485,-0.006992673024,-0.0008191502816,-0.002166400449
Tuesday,2015-05-26,8473.330078,3499.120117,10917.57031,10609.95996,11165.65039,-0.00376120285,-0.003153625355,-0.003231947214,-0.0001084137251,-0.001585342731
Wednesday,2015-05-27,8468.450195,3497.26001,10910.12988,10616.46973,11162.41016,-0.0005759108822,-0.0005315927827,-0.0006815096939,0.0006135527396,-0.0002901962615
