Date,Open,High,Low,Close,Adj Close,Volume
01-03-2005,4.73,5,3.879,4.203,3.796252,42503000
01-04-2005,4.26,4.517,3.995,4.341,3.920897,24937000
01-05-2005,4.41,4.43,4.067,4.189,3.783607,28437000
01-06-2005,4.204,4.848,4.13,4.651,4.228285,28393000
01-07-2005,4.676,5.27,4.525,5.08,4.618294,35567000
01-08-2005,5.055,5.225,4.565,4.789,4.353743,23595000
01-09-2005,4.789,5.297,4.699,5.12,4.654658,32021000
01-10-2005,5.298,5.475,4.196,4.419,4.017371,56912000
01-11-2005,4.419,5.078,4.419,4.959,4.508292,42296000
01-12-2005,4.98,5.429,4.952,5.09,4.627386,30177000
01-01-2006,5.129,5.97,5.121,5.944,5.403769,33610000
01-02-2006,5.888,5.941,5.15,5.319,4.835573,47627000
01-03-2006,5.4,5.575,5.235,5.45,4.954667,38642000
01-04-2006,5.59,6.247,5.488,5.882,5.347404,42168000
01-05-2006,5.9,6.36,5.164,5.294,4.812845,54438000
01-06-2006,5.269,5.577,4.304,5.455,4.988265,81045000
01-07-2006,5.397,5.498,4.726,5.415,4.951686,41305000
01-08-2006,5.41,5.8,5.236,5.688,5.20133,28302000
01-09-2006,5.77,6.182,5.43,6.105,5.582651,34084000
01-10-2006,6.125,7.007,5.914,6.926,6.333405,30207000
01-11-2006,6.901,7.77,6.757,7.601,6.950651,38303000
01-12-2006,7.65,7.699,7.01,7.548,6.902185,46357000
01-01-2007,7.7,8,7.001,7.632,6.979,41163000
01-02-2007,7.702,7.944,6.316,6.636,6.068218,67889000
01-03-2007,6.612,7.175,6.099,6.445,5.893559,70176000
01-04-2007,6.35,7.589,6.347,7.263,6.64157,47550000
01-05-2007,7.36,8.657,7.188,8.495,7.76816,58203000
01-06-2007,8.575,8.84,7.946,8.426,7.759336,53562000
01-07-2007,8.455,9.38,8.371,8.661,7.975745,105289000
01-08-2007,8.55,8.885,7.092,8.865,8.163605,105065000
01-09-2007,8.845,10.779,8.575,10.713,9.865391,54565000
01-10-2007,10.6,13.9,10.333,13.9,12.800234,133328000
01-11-2007,13.494,13.937,10.9,13.449,12.384919,105317000
01-12-2007,13.5,14.544,12.016,13.045,12.012882,84054000
01-01-2008,13.3,14.067,10,11.931,10.987022,130173000
01-02-2008,11.402,12.197,10.522,10.911,10.047725,115866000
01-03-2008,10.673,10.8,8.526,9.824,9.046726,159423000
01-04-2008,9.77,11.548,9.35,11.28,10.387529,113396000
01-05-2008,11.28,11.945,9.6,9.975,9.239161,83774000
01-06-2008,9.75,9.75,6.934,7.166,6.637378,154352000
01-07-2008,6.994,9.198,6.119,7.818,7.24128,256070000
01-08-2008,8.006,9.549,7.72,9.049,8.381473,143799000
01-09-2008,9.279,9.697,7.2,8.495,7.86834,147815000
01-10-2008,9.6,9.6,5.219,6.56,6.076081,186972000
01-11-2008,6.55,7.466,4.485,5.72,5.298046,159095000
01-12-2008,5.59,7.5,5.05,7.138,6.611443,133234000
01-01-2009,7.354,7.748,5.314,5.766,5.340652,121026000
01-02-2009,5.651,6.375,5.1,5.1,4.723782,104492000
01-03-2009,4.975,6.399,4.55,6.093,5.643531,146251000
01-04-2009,6.1,7.867,5.942,7.402,6.855968,113115000
01-05-2009,7.529,10.174,7.359,9.95,9.216006,133859000
01-06-2009,10.144,11.023,9.32,10.313,9.552228,104009000
01-07-2009,10.4,10.452,8.903,9.777,9.108021,86602000
01-08-2009,10,10.161,9.23,9.851,9.176957,68821000
01-09-2009,9.751,11.965,9.45,11.837,11.02707,68965000
01-10-2009,11.901,12.679,10.875,11.061,10.304166,84873000
01-11-2009,11.07,13.893,11.034,13.455,12.534359,69951000
01-12-2009,13.719,14.033,12.106,13.008,12.117946,54305000
01-01-2010,13.275,13.891,11.515,11.83,11.020548,56227000
