TABLE 91: CENTRAL GOVERNMENT RECEIPTS - MAJOR COMPONENTS,,,,,,,,,,,,
(? Crore),,,,,,,,,,,,
Year,Tax revenue (net),Direct tax (net),of which,,Indirect tax,of which,,Non-tax revenue,of which,Revenue receipts (2+9),Capital Receipts,Total receipts (11+12)
,,,Personal income tax,Corporation tax,,Excise Duties,Customs duties,,Interest receipts,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
1974-75,5097,1142,362,709,3956,2528,1333,1345,776,6442,2774,9216
1975-76,6010,1480,480,862,4530,2988,1419,1854,934,7864,4149,12013
1976-77,6581,1686,542,984,4895,3193,1554,1987,1105,8568,4958,13526
1977-78,7060,1742,327,1221,5319,3335,1824,2478,1441,9538,5035,14573
1978-79,8568,1842,471,1256,6726,4128,2424,2406,1427,10974,6285,17259
1979-80,8567,1950,475,1392,6617,3481,2924,2542,1360,11109,5420,16529
1980-81,9358,1893,438,1311,7465,3723,3409,3015,1795,12373,7918,20291
1981-82,11542,2518,459,1970,9024,4181,4300,3482,2215,15024,8849,23873
1982-83,13017,2723,438,2185,10294,4567,5119,4417,2852,17434,11701,29135
1983-84,15441,3131,527,2493,12310,6165,5583,4270,2668,19711,14406,34117
1984-85,17651,3375,697,2556,14276,6625,7041,5815,3963,23466,16421,39887
1985-86,21140,3698,665,2865,17442,7331,9526,6895,4595,28035,19315,47350
1986-87,24319,4023,719,3160,20296,8164,11475,8764,5353,33083,21572,54655
1987-88,28015,4100,603,3433,23915,9423,13702,9022,5755,37037,25408,62445
1988-89,33751,6021,1492,4407,27730,10922,15805,9840,6981,43591,29878,73469
1989-90,38349,6028,1088,4729,32321,13096,18036,13947,8474,52296,30020,82316
1990-91,42978,6903,1250,5335,36075,14100,20644,11976,8730,54954,38997,93951
1991-92,50069,10103,1627,7853,39966,16017,22257,15961,10933,66030,38528,104558
1992-93,54044,12075,1831,8899,41969,16367,23776,20084,12487,74128,36178,110306
1993-94,53449,12522,1355,10060,40927,17224,22193,22004,15078,75453,55440,130893
1994-95,67454,18409,3468,13822,49045,21064,26789,23629,15797,91083,68695,159778
1995-96,81939,22287,4318,16487,59652,22176,35757,28191,18419,110130,58338,168468
1996-97,93701,25374,4715,18567,68326,23463,42851,32578,22106,126279,61544,187823
1997-98,95672,27172,3589,20016,68500,25516,40193,38214,25323,133886,99077,232963
1998-99,104652,32120,5760,24529,72532,28581,40668,44833,30076,149485,130064,279549
1999-00,128271,41436,9131,30692,86836,34944,48419,53211,33895,181482,115707,297189
2000-01,136658,49651,23766,25177,87007,49758,34163,55947,32811,192605,134184,326789
2001-02,133532,47703,22106,25133,85828,54469,28340,67774,35538,201306,162500,363806
2002-03,158544,61612,27779,33893,96932,62388,31898,72290,37622,230834,180531,411365
2003-04,186982,76590,30765,45706,110392,70245,34586,76831,38538,263813,211333,475146
2004-05,224798,95944,35443,60289,128854,77241,41811,81193,32387,305991,200391,506382
2005-06,270264,120692,45238,75187,149572,86642,46645,76813,22032,347077,179549,526626
2006-07,351182,169738,62707,106701,181444,92651,62819,83205,22524,434387,144482,578869
2007-08,439547,231574,86563,144660,207972,96178,75382,102317,21060,541864,197978,739842
2008-09,443319,248152,86985,160797,195169,81872,69217,96940,20717,540259,299863,840122
2009-10,456536,271623,94532,176797,184913,84383,60223,116275,21784,572811,453063,1025874
2010-11,569868,313501,102441,209115,256367,110222,97598,218602,19734,788471,402428,1190899
2011-12,629764,343310,118224,227411,286454,116226,105614,121672,20252,751437,568918,1320355
2012-13,741877,396585,140438,255570,345292,141245,115890,137354,20761,879232,582152,1461383
2013-14,815854,455829,169408,285742,360025,137975,121059,198870,21868,1014724,563894,1578618
2014-15,903615,500531,188336,311453,403085,153709,127994,197766,23734,1101381,484448,1585829
2015-16,943765,449296,172748,275917,494469,220473,128829,251260,25378,1195025,582579,1777604
2016-17,1101372,521287,225214,295960,580085,286088,135372,272831,16229,1374203,609886,1984089
2017-18,1242488,606216,258461,347712,636272,211393,78601,192745,13574,1435233,702650,2137883
2018-19,1317211,723492,303508,419953,593719,204021,75231,235704,12145,1552916,763518,2316434
2019-20,1356902,638365,298204,340143,718537,212988,71472,327157,12349,1684059,997301,2681360
2020-21,1344501,586355,298192,288155,758146,341423,75408,210653,14005,1555153,1912510,3467663
2021-22,1545397,717586,364221,353356,827811,315525,95784,243028,11541,1788424,1623428,3411853
Notes : 1. Data for 2020-21 are Revised Estimates and Data for 2021-22 are Budget Estimates.,,,,,,,,,,,,
2. All the tax revenues in this table are net of State Government's share and amount assigned to National Calamity Contingency Fund (NCCF).,,,,,,,,,,,,
"3. Capital Receipts for 2002-03, 2003-04 and 2004-05 include receipts under the State Debt Swap Scheme.",,,,,,,,,,,,
4. Capital Receipts and Total Receipts of 2007 include an amount of ?34309 Crore which represents the Reserve Bank's surplus transferred to the Central Government on account of transfer of its stake in SBI to the Central Government.,,,,,,,,,,,,
5. Capital Receipts and total receipts exclude Draw-Down of Cash balances.,,,,,,,,,,,,
Also see Notes on Tables.,,,,,,,,,,,,
Source : Budget documents of the Government of India and Finance Accounts (various issues).,,,,,,,,,,,,
