Year,Tax revenue (net)
1974-75,5097
1975-76,6010
1976-77,6581
1977-78,7060
1978-79,8568
1979-80,8567
1980-81,9358
1981-82,11542
1982-83,13017
1983-84,15441
1984-85,17651
1985-86,21140
1986-87,24319
1987-88,28015
1988-89,33751
1989-90,38349
1990-91,42978
1991-92,50069
1992-93,54044
1993-94,53449
1994-95,67454
1995-96,81939
1996-97,93701
1997-98,95672
1998-99,104652
1999-00,128271
2000-01,136658
2001-02,133532
2002-03,158544
2003-04,186982
2004-05,224798
2005-06,270264
2006-07,351182
2007-08,439547
2008-09,443319
2009-10,456536
2010-11,569868
2011-12,629764
2012-13,741877
2013-14,815854
2014-15,903615
2015-16,943765
2016-17,1101372
2017-18,1242488
2018-19,1317211
2019-20,1356902
2020-21,1344501
2021-22,1545397
